Nr.,interaction type,GO Term,GO Term 2,MI Term,kinasefamily,kin_phos,Kinase_Phos,Target,pSite,PMID,Pathway,Ppase family
930,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G55910,AT5G57090,,19168677,hormone signaling.auxin-transport,
938,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,,19363095,hormone signaling.auxin-transport,
940,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,,19363095,signaling.gravitropic response,
942,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,,19363095,development.root,
955,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G57090,,20040538,hormone signaling.auxin-transport,
1001,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G57090,,15514156,hormone signaling.auxin-transport,
1004,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G57090,,15514156,development.root,
3770,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT5G57090,,TAIR,not specified,
6098,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G57090,,23515161,hormone signaling.auxin-transport,
745,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G55910,AT5G55910,,14749726,not specified,
775,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G55910,,16973627,not specified,
790,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT5G55910,,16973627,not specified,
915,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT5G54490,,12857841,hormone signaling.auxin,
3769,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT5G54490,,TAIR,not specified,
957,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G53950,,15371311,hormone signaling.auxin-transport,
960,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G53950,,15371311,development.stomata,
3804,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G47760,,TAIR,not specified,
787,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G47750,,16973627,not specified,
800,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT5G47750,,16973627,not specified,
3800,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G47750,,TAIR,not specified,
856,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT5G40390,,21175636,not specified,
778,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G40030,,16973627,not specified,
793,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT5G40030,,16973627,not specified,
3799,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT5G40030,,TAIR,not specified,
884,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT5G24780,,19574254,stress.biotic.plant defence.basal resistance,
886,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT5G24780,,19574254,stress.biotic.reactive oxygen species,
748,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G08730,AT5G22220,,20683442,cell.proliferation,
3780,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G23310,AT5G21274,,TAIR,not specified,
969,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G17060,,19524572,signaling.light,
970,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G10450,,19524572,not specified,
755,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,S177,16125835,not specified,
756,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,S276,16125835,not specified,
757,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,S382,16125835,not specified,
758,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,T176,16125835,not specified,
759,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,T211,16125835,not specified,
760,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G04510,AT5G04510,D167,16125835,not specified,
853,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT5G04510,,21175636,not specified,
998,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT5G04510,,16601102,hormone signaling.auxin-transport,
3764,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT1G16440,AT5G04510,,TAIR,not specified,
3767,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT5G04510,,TAIR,not specified,
3772,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G36350,AT5G04510,,TAIR,not specified,
3774,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G12690,AT5G04510,,TAIR,not specified,
3784,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G27580,AT5G04510,,TAIR,not specified,
3791,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT4G26610,AT5G04510,,TAIR,not specified,
3805,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G40030,AT5G04510,,TAIR,not specified,
3806,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G55910,AT5G04510,,TAIR,not specified,
2162,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G45780,AT5G04190,,22781128,signaling.light,
855,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT5G03280,,21175636,not specified,
763,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08730,AT4G31700,,16377759,stress.abiotic.drought and osmotic,
841,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08730,AT4G31700,,15064379,hormone signaling.abscisic acid,
842,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08720,AT4G31700,,15064379,hormone signaling.abscisic acid,
843,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08730,AT4G31700,,15064379,hormone signaling.auxin,
844,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08720,AT4G31700,,15064379,hormone signaling.auxin,
845,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G08720,AT4G31700,,9528776,cellular functions.translation/ protein synthesis,
846,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G08720,AT4G31700,,9528776,cellular functions.translation/ protein synthesis,
776,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT4G26610,,16973627,not specified,
791,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT4G26610,,16973627,not specified,
3798,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT4G26610,,TAIR,not specified,
3787,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT4G26090,,TAIR,not specified,
3808,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G58140,AT4G26090,,TAIR,not specified,
3765,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT1G51170,AT4G14640,,TAIR,not specified,
3779,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G23310,AT4G14640,,TAIR,not specified,
865,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT4G13000,,21625539,stress.biotic.plant defence,
866,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT4G13000,,21625539,stress.biotic.plant defence,
873,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT4G13000,,21625539,development.embryogenesis,
874,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT4G13000,,21625539,development.embryogenesis,
881,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT4G13000,,21625539,signaling.lipids,
882,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT4G13000,,21625539,signaling.lipids,
857,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT4G11850,,21175636,not specified,
968,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT3G62290,,19524572,signaling.light,
64,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G25250,AT3G59350,,17040918,stress.biotic.reactive oxygen species,
3783,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G25250,AT3G59350,,TAIR,not specified,
789,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G52890,,16973627,not specified,
847,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G52890,AT3G52890,,10788494,not specified,
3789,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G52890,AT3G52890,,TAIR,not specified,
3797,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G52890,,TAIR,not specified,
3778,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G23310,AT3G51920,,TAIR,not specified,
809,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,,11371609,signaling.light,
814,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S58,20031924,signaling.light,
815,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S58,20031924,stress.abiotic.drought and osmotic,
816,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S84,20031924,signaling.light,
817,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S84,20031924,stress.abiotic.drought and osmotic,
818,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S350,20031924,signaling.light,
819,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S350,20031924,stress.abiotic.drought and osmotic,
820,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S410,20031924,signaling.light,
821,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S410,20031924,stress.abiotic.drought and osmotic,
822,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,,17085510,signaling.light,
824,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G58140,AT3G45780,,17085510,signaling.light,
920,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S851,22001205,not specified,
928,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,,9831559,signaling.light,
963,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,,17164248,signaling.light,
972,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S851,18378899,signaling.light,
973,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,S849,18378899,signaling.light,
974,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G45780,AT3G45780,,12383086,signaling.light,
3785,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT3G45780,,TAIR,not specified,
541,activation,GO:0044093,positive regulation of molecular function,no,AGC,kinase,AT3G25250,AT3G45640,,14985766,stress.biotic.reactive oxygen species,
784,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G44610,,16973627,not specified,
799,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G44610,,16973627,not specified,
3777,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G23310,AT3G43810,,TAIR,not specified,
921,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT3G28860,,21666806,hormone signaling.auxin-transport,
922,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G45780,AT3G28860,,21666806,signaling.light,
788,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G27580,,16973627,not specified,
801,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G27580,,16973627,not specified,
3796,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G27580,,TAIR,not specified,
36,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G25250,,14749726,signaling.lipids,
744,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G25250,,14749726,signaling.lipids,
746,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G25250,,14749726,hormone signaling.auxin,
747,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G25250,,14749726,hormone signaling.cytokinin,
863,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT3G25250,,21625539,stress.biotic.plant defence,
864,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT3G25250,,21625539,stress.biotic.plant defence,
871,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT3G25250,,21625539,development.embryogenesis,
872,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT3G25250,,21625539,development.embryogenesis,
879,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G04510,AT3G25250,,21625539,signaling.lipids,
880,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G10540,AT3G25250,,21625539,signaling.lipids,
1436,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G25250,,17040918,stress.biotic.reactive oxygen species,
3801,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G25250,,TAIR,not specified,
956,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT3G15170,,15371311,hormone signaling.auxin-transport,
959,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT3G15170,,15371311,development.embryogenesis,
786,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G14370,,16973627,not specified,
3795,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G14370,,TAIR,not specified,
779,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G12690,,16973627,not specified,
794,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G12690,,16973627,not specified,
3802,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT3G12690,,TAIR,not specified,
749,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G08730,AT3G12280,,20683442,cell.proliferation,
761,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G10540,,16125835,not specified,
854,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT3G10540,,21175636,not specified,
2256,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G10540,AT3G10540,T212,SwissProt,not specified,
762,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G08730,AT3G08850,,16377759,stress.abiotic.drought and osmotic,
3773,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G08730,AT3G08850,,TAIR,not specified,
750,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G08730,AT3G08730,,8021267,not specified,
764,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT3G08730,,16377759,stress.abiotic.drought and osmotic,
2259,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT3G08720,AT3G08720,,SwissProt,not specified,
41,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT2G47060,,21276203,stress.biotic.reactive oxygen species,
777,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G44830,,16973627,not specified,
792,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G44830,,16973627,not specified,
5940,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT2G44830,AT2G44830,S596,23507047,not specified,
5941,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G44830,S596,23507047,not specified,
5942,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G44830,,23507047,not specified,
5943,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G44830,S269,23507047,not specified,
849,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT2G44350,,21175636,not specified,
542,activation,GO:0044093,positive regulation of molecular function,no,AGC,kinase,AT3G25250,AT2G43790,,14985766,stress.biotic.reactive oxygen species,
914,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT2G41100,,12857841,hormone signaling.auxin,
3768,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT2G41100,,TAIR,not specified,
3776,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G23310,AT2G41090,,TAIR,not specified,
782,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G36350,,16973627,not specified,
797,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G36350,,16973627,not specified,
248,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT2G34650,AT2G34650,T294,10693763,hormone signaling.auxin,
913,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT2G34650,AT2G34650,,12857841,hormone signaling.auxin,
947,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT2G34650,AT2G34650,,17889649,hormone signaling.auxin-transport,
997,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT2G34650,AT2G34650,,16601102,hormone signaling.auxin-transport,
999,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G34650,,16601102,hormone signaling.auxin-transport,
3766,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT2G34650,,TAIR,not specified,
3794,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G34650,,TAIR,not specified,
6110,gene regulation,GO:0010468,regulation of gene expression,no,AGC,kinase,AT3G45780,AT2G34650,,23888933,signaling.light,
62,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G25250,AT2G30740,,17040918,stress.biotic.reactive oxygen species,
63,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT2G30740,,17040918,stress.biotic.reactive oxygen species,
3782,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G25250,AT2G30740,,TAIR,not specified,
964,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT2G30520,,15031408,signaling.light,
966,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT2G30520,,19524572,signaling.light,
850,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G25250,AT2G30110,,21175636,not specified,
783,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G26700,,16973627,not specified,
798,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT2G26700,,16973627,not specified,
3803,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT2G26700,,TAIR,not specified,
883,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT2G14610,,19574254,stress.biotic.plant defence.basal resistance,
885,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G25250,AT2G14610,,19574254,stress.biotic.reactive oxygen species,
826,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT2G02950,,1502518,signaling.light,
3788,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT2G02950,,TAIR,not specified,
895,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT2G01420,,20823065,hormone signaling.auxin-transport,
896,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT1G53700,AT2G01420,,20823065,hormone signaling.auxin-transport,
897,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G14370,AT2G01420,,20823065,hormone signaling.auxin-transport,
932,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G55910,AT2G01420,,19168677,hormone signaling.auxin-transport,
1002,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT2G01420,,15514156,hormone signaling.auxin-transport,
1005,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT2G01420,,15514156,development.root,
781,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT1G79250,,16973627,not specified,
796,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G04510,AT1G79250,,16973627,not specified,
3793,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G04510,AT1G79250,,TAIR,not specified,
990,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT5G58140,AT1G75100,,16113208,signaling.light,
887,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G73590,,21423279,hormone signaling.auxin-transport,
889,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G73590,,20823065,hormone signaling.auxin-transport,
890,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT1G53700,AT1G73590,,20823065,hormone signaling.auxin-transport,
891,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G14370,AT1G73590,,20823065,hormone signaling.auxin-transport,
929,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G55910,AT1G73590,,19168677,hormone signaling.auxin-transport,
944,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT1G73590,S231,20407025,hormone signaling.auxin-transport,
945,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT1G73590,S252,20407025,hormone signaling.auxin-transport,
946,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT1G73590,S290,20407025,hormone signaling.auxin-transport,
948,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT1G73590,S337,17889649,hormone signaling.auxin-transport,
949,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT1G73590,T340,17889649,hormone signaling.auxin-transport,
1000,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G73590,,15514156,hormone signaling.auxin-transport,
1003,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G73590,,15514156,development.root,
3771,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT2G34650,AT1G73590,,TAIR,not specified,
931,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT5G55910,AT1G70940,,19168677,hormone signaling.auxin-transport,
954,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G70940,,16731587,hormone signaling.auxin-transport,
6108,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT1G70940,,23888933,hormone signaling.auxin-transport,
