TFName	TFLocus	TFFamily	TargetName	TargetLocus	IsTF	TargetType	Confirmation	Category	InteractionType	Reference	Note	PubMedID
HY5	At5g11260	bZIP	TRFL3	At1g17460	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g46660	At2g46660	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g38750	At2g38750	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	AtMYB59	At5g59780	Yes	Direct	Confirmed	MYB Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	COL9	At3g07650	Yes	Direct	Confirmed	C2C2-CO-like Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g55620	At5g55620	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g07680	At5g07680	Yes	Direct	Confirmed	NAC Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g01610	At4g01610	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g17760	At5g17760	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g15230	At4g15230	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g01350	At3g01350	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g15380	At1g15380	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g55550	At1g55550	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g78850	At1g78850	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g16850	At1g16850	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	NCED9	At1g78390	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g43050	At2g43050	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g34610	At4g34610	Yes	Direct	Confirmed	Homeobox Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g55220	At5g55220	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g16910	At3g16910	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g59930	At5g59930	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g43570	At2g43570	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g21890	At3g21890	Yes	Direct	Confirmed	C2C2-CO-like Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g42930	At3g42930	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g24530	At1g24530	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	SOUL	At1g17100	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g32450	At1g32450	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g45850	At5g45850	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	SEX1	At1g10760	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	RGL2	At3g03450	Yes	Direct	Confirmed	GRAS Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g72100	At1g72100	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g35030	At4g35030	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	HSFA1E	At3g02990	Yes	Direct	Confirmed	HSF Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g15670	At3g15670	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g21720	At3g21720	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	CRA1	At5g44120	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g35300	At2g35300	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g80130	At1g80130	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g41850	At2g41850	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g69760	At1g69760	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g62490	At5g62490	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g29630	At2g29630	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g28780	At2g28780	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g63190	At1g63190	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g31980	At2g31980	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	RD20	At2g33380	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g37230	At4g37230	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g24140	At5g24140	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g04140	At3g04140	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g36030	At4g36030	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g25890	At2g25890	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g01300	At5g01300	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g15020	At2g15020	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g37070	At4g37070	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g06080	At3g06080	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g12950	At1g12950	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g21910	At1g21910	Yes	Direct	Confirmed	AP2-EREBP Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	DC1	At2g27660	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	CHB4	At2g43590	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g78440	At1g78440	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	NCED3	At3g14440	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g02810	At1g02810	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g07135	At1g07135	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	SRC2	At1g09070	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g57770	At1g57770	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g56880	At3g56880	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g27080	At2g27080	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g53310	At5g53310	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g34990	At2g34990	Yes	Direct	Confirmed	C3H Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g05820	At3g05820	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	TCH3	At2g41100	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g64660	At5g64660	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g52740	At3g52740	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	AtERF1	At4g17500	Yes	Direct	Confirmed	AP2-EREBP Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g66650	At5g66650	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g02870	At2g02870	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g50950	At5g50950	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g06160	At3g06160	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g08950	At4g08950	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	AtMYB74	At4g05100	Yes	Direct	Confirmed	MYB Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	HSFA6B	At3g22830	Yes	Direct	Confirmed	HSF Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g29670	At2g29670	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g27250	At4g27250	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g01550	At5g01550	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g45110	At5g45110	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	CBF1	At4g25490	Yes	Direct	Confirmed	AP2-EREBP Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g62180	At5g62180	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	ZAT12	At5g59820	Yes	Direct	Confirmed	C2H2 Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g13600	At3g13600	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g48520	At3g48520	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g43890	At5g43890	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g19380	At1g19380	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g36220	At2g36220	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g22500	At2g22500	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At3g01830	At3g01830	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g73500	At1g73500	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g44080	At2g44080	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g41640	At2g41640	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	ATNAP9	At5g02270	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	SRO5	At5g62520	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	ZAT11	At2g37430	Yes	Direct	Confirmed	C2H2 Family	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g30040	At2g30040	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g27280	At4g27280	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g25400	At1g25400	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g29780	At4g29780	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g17420	At1g17420	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g73540	At1g73540	No	Direct	Confirmed	NA	Activation	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
